(61.075835484168664, 63.76237766848999, 64.26442100881076)
(132.3140114629528, 133.57454454803943, 139.28407671976896)
(157.27351673766444, 164.2821022371006, 169.89599980870747)
(121.69777636341198, 115.19226643597514, 99.93078980391486)
(122.37772614386884, 123.50348122203533, 129.62459467079324)
(169.53751123776033, 169.94970980543786, 172.91465100213608)
(76.88926973302218, 80.07168427227136, 89.2481642459215)
(134.8779354376498, 134.66406290467597, 138.7805954622083)
(145.8629590531858, 144.57339985115422, 149.4335786805712)
(165.52208227842385, 158.67374646668515, 158.45283854192098)
(153.01771496292744, 152.62085326775983, 157.20700302859044)
(125.0783664981755, 127.91914319136482, 129.3158794962075)
(135.58990026430314, 136.53050648879068, 141.08279560197062)
(135.70228305886005, 133.20526579098035, 133.8843263432903)
(85.75453317194348, 88.31566761525853, 97.64884073300807)
(137.1676834259734, 136.67656743671841, 140.97578879704378)
(142.87715055369722, 144.69676743494537, 145.07731816815044)
(166.63856588853653, 167.0696106537261, 170.4351952483154)
(132.40818719194746, 133.86536625432458, 137.2224519453934)
(113.6595911378048, 117.07880322675811, 122.42917711003392)
(105.85396237211408, 106.12078098222555, 114.55994308268578)
(142.50692111651824, 144.87009856589682, 151.06015598615156)
(144.58309616034973, 149.9249806627507, 155.61014732100696)
(137.38842815057518, 137.5722398436023, 138.6351221635812)
(133.49160804398355, 134.75566026920697, 134.23374751491542)
(60.931453787357675, 65.4327065987554, 66.59184653221891)
(133.82959571841968, 135.8998553372489, 137.73405585294245)
(177.6334825016322, 178.58138196828818, 177.02600277646437)
(139.33158463435024, 139.74474111134438, 139.9875062830127)
(100.58028135489303, 82.70548589450449, 80.01162585785984)
(87.81830095837381, 65.45335069351177, 61.76333497270086)
(159.74703358633252, 158.38512077065386, 163.3342962659053)
(174.0923026704414, 153.16389893772887, 145.17016914857442)
(106.13523260884389, 106.66975144291952, 110.47917574356441)
